2016-07-19 20:39:26 startup archives install
2016-07-19 20:39:26 install base-passwd:arm64 <none> 3.5.39
2016-07-19 20:39:26 status half-installed base-passwd:arm64 3.5.39
2016-07-19 20:39:26 status unpacked base-passwd:arm64 3.5.39
2016-07-19 20:39:26 status unpacked base-passwd:arm64 3.5.39
2016-07-19 20:39:26 configure base-passwd:arm64 3.5.39 3.5.39
2016-07-19 20:39:26 status unpacked base-passwd:arm64 3.5.39
2016-07-19 20:39:26 status half-configured base-passwd:arm64 3.5.39
2016-07-19 20:39:27 status installed base-passwd:arm64 3.5.39
2016-07-19 20:39:27 startup archives install
2016-07-19 20:39:27 install base-files:arm64 <none> 9.4ubuntu4
2016-07-19 20:39:27 status half-installed base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 configure base-files:arm64 9.4ubuntu4 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status half-configured base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 status installed base-files:arm64 9.4ubuntu4
2016-07-19 20:39:27 startup archives install
2016-07-19 20:39:27 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2016-07-19 20:39:27 status half-configured dpkg 1.18.4ubuntu1
2016-07-19 20:39:27 status unpacked dpkg 1.18.4ubuntu1
2016-07-19 20:39:27 status half-installed dpkg 1.18.4ubuntu1
2016-07-19 20:39:27 status half-installed dpkg 1.18.4ubuntu1
2016-07-19 20:39:27 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 configure dpkg:arm64 1.18.4ubuntu1 1.18.4ubuntu1
2016-07-19 20:39:27 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 status unpacked dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 status half-configured dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 status installed dpkg:arm64 1.18.4ubuntu1
2016-07-19 20:39:27 startup archives install
2016-07-19 20:39:27 install libc6:arm64 <none> 2.23-0ubuntu3
2016-07-19 20:39:27 status half-installed libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:28 status unpacked libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:28 status unpacked libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:28 configure libc6:arm64 2.23-0ubuntu3 2.23-0ubuntu3
2016-07-19 20:39:28 status unpacked libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:28 status unpacked libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:28 status half-configured libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:28 status installed libc6:arm64 2.23-0ubuntu3
2016-07-19 20:39:28 startup archives install
2016-07-19 20:39:28 install perl-base:arm64 <none> 5.22.1-9
2016-07-19 20:39:28 status half-installed perl-base:arm64 5.22.1-9
2016-07-19 20:39:29 status unpacked perl-base:arm64 5.22.1-9
2016-07-19 20:39:29 status unpacked perl-base:arm64 5.22.1-9
2016-07-19 20:39:29 configure perl-base:arm64 5.22.1-9 5.22.1-9
2016-07-19 20:39:29 status unpacked perl-base:arm64 5.22.1-9
2016-07-19 20:39:29 status half-configured perl-base:arm64 5.22.1-9
2016-07-19 20:39:29 status installed perl-base:arm64 5.22.1-9
2016-07-19 20:39:29 startup archives install
2016-07-19 20:39:29 install mawk:arm64 <none> 1.3.3-17ubuntu2
2016-07-19 20:39:29 status half-installed mawk:arm64 1.3.3-17ubuntu2
2016-07-19 20:39:29 status unpacked mawk:arm64 1.3.3-17ubuntu2
2016-07-19 20:39:29 status unpacked mawk:arm64 1.3.3-17ubuntu2
2016-07-19 20:39:29 configure mawk:arm64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2016-07-19 20:39:29 status unpacked mawk:arm64 1.3.3-17ubuntu2
2016-07-19 20:39:29 status half-configured mawk:arm64 1.3.3-17ubuntu2
2016-07-19 20:39:29 status installed mawk:arm64 1.3.3-17ubuntu2
2016-07-19 20:39:29 startup archives unpack
2016-07-19 20:39:29 install adduser:all <none> 3.113+nmu3ubuntu4
2016-07-19 20:39:29 status half-installed adduser:all 3.113+nmu3ubuntu4
2016-07-19 20:39:29 status unpacked adduser:all 3.113+nmu3ubuntu4
2016-07-19 20:39:29 status unpacked adduser:all 3.113+nmu3ubuntu4
2016-07-19 20:39:29 upgrade base-files:arm64 9.4ubuntu4 9.4ubuntu4
2016-07-19 20:39:29 status half-configured base-files:arm64 9.4ubuntu4
2016-07-19 20:39:29 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:29 status half-installed base-files:arm64 9.4ubuntu4
2016-07-19 20:39:29 status half-installed base-files:arm64 9.4ubuntu4
2016-07-19 20:39:29 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:29 status unpacked base-files:arm64 9.4ubuntu4
2016-07-19 20:39:29 upgrade base-passwd:arm64 3.5.39 3.5.39
2016-07-19 20:39:29 status half-configured base-passwd:arm64 3.5.39
2016-07-19 20:39:29 status unpacked base-passwd:arm64 3.5.39
2016-07-19 20:39:29 status half-installed base-passwd:arm64 3.5.39
2016-07-19 20:39:29 status half-installed base-passwd:arm64 3.5.39
2016-07-19 20:39:29 status unpacked base-passwd:arm64 3.5.39
2016-07-19 20:39:29 status unpacked base-passwd:arm64 3.5.39
2016-07-19 20:39:29 install bash:arm64 <none> 4.3-14ubuntu1
2016-07-19 20:39:29 status half-installed bash:arm64 4.3-14ubuntu1
2016-07-19 20:39:29 status unpacked bash:arm64 4.3-14ubuntu1
2016-07-19 20:39:29 status unpacked bash:arm64 4.3-14ubuntu1
2016-07-19 20:39:29 install bsdutils:arm64 <none> 1:2.27.1-6ubuntu3
